Слово,Частота,Частота (%)
bird,2,0.00608199
blank,2,0.00608199
blast,2,0.00608199
blasted,2,0.00608199
bleed,2,0.00608199
blest,2,0.00608199
blown,2,0.00608199
blows,2,0.00608199
blush,2,0.00608199
breaks,2,0.00608199
breathing,2,0.00608199
breed,2,0.00608199
breeding,2,0.00608199
broad,2,0.00608199
broke,2,0.00608199
brook,2,0.00608199
brothers,2,0.00608199
brows,2,0.00608199
builds,2,0.00608199
bulk,2,0.00608199
burn,2,0.00608199
burning,2,0.00608199
burns,2,0.00608199
buzz,2,0.00608199
caesar,2,0.00608199
calm,2,0.00608199
camel,2,0.00608199
canker,2,0.00608199
capable,2,0.00608199
capital,2,0.00608199
card,2,0.00608199
carpenter,2,0.00608199
carrying,2,0.00608199
catch,2,0.00608199
caught,2,0.00608199
celestial,2,0.00608199
chance,2,0.00608199
chances,2,0.00608199
chapel,2,0.00608199
character,2,0.00608199
charitable,2,0.00608199
cheek,2,0.00608199
cheerfully,2,0.00608199
child,2,0.00608199
choler,2,0.00608199
church,2,0.00608199
city,2,0.00608199
claudius,2,0.00608199
coldly,2,0.00608199
collected,2,0.00608199
collection,2,0.00608199
com,2,0.00608199
comedy,2,0.00608199
comical,2,0.00608199
comply,2,0.00608199
confine,2,0.00608199
confound,2,0.00608199
contagion,2,0.00608199
continent,2,0.00608199
contrive,2,0.00608199
convert,2,0.00608199
cost,2,0.00608199
couch,2,0.00608199
coward,2,0.00608199
crack,2,0.00608199
craft,2,0.00608199
creature,2,0.00608199
crew,2,0.00608199
crowner,2,0.00608199
cruel,2,0.00608199
currents,2,0.00608199
cut,2,0.00608199
daggers,2,0.00608199
dar,2,0.00608199
dearest,2,0.00608199
dearly,2,0.00608199
defeat,2,0.00608199
defect,2,0.00608199
defence,2,0.00608199
delay,2,0.00608199
delicate,2,0.00608199
demand,2,0.00608199
demands,2,0.00608199
deny,2,0.00608199
depends,2,0.00608199
desert,2,0.00608199
desp,2,0.00608199
desperation,2,0.00608199
destroy,2,0.00608199
diadem,2,0.00608199
diet,2,0.00608199
difference,2,0.00608199
dig,2,0.00608199
dignity,2,0.00608199
directly,2,0.00608199
dirt,2,0.00608199
disclos,2,0.00608199
dishonour,2,0.00608199
dismal,2,0.00608199
distraction,2,0.00608199
distrust,2,0.00608199
divide,2,0.00608199
divinity,2,0.00608199
dog,2,0.00608199
doom,2,0.00608199
doubtful,2,0.00608199
dove,2,0.00608199
dozen,2,0.00608199
drive,2,0.00608199
eager,2,0.00608199
easiness,2,0.00608199
easy,2,0.00608199
eats,2,0.00608199
effects,2,0.00608199
em,2,0.00608199
embrace,2,0.00608199
empire,2,0.00608199
employment,2,0.00608199
enact,2,0.00608199
ends,2,0.00608199
enemies,2,0.00608199
english,2,0.00608199
enterprise,2,0.00608199
entreaty,2,0.00608199
envy,2,0.00608199
epitaph,2,0.00608199
equal,2,0.00608199
escape,2,0.00608199
especially,2,0.00608199
eternal,2,0.00608199
event,2,0.00608199
everything,2,0.00608199
exchange,2,0.00608199
exercise,2,0.00608199
expel,2,0.00608199
extremity,2,0.00608199
faces,2,0.00608199
faculties,2,0.00608199
falling,2,0.00608199
fame,2,0.00608199
fares,2,0.00608199
farm,2,0.00608199
fate,2,0.00608199
fates,2,0.00608199
fathers,2,0.00608199
favours,2,0.00608199
fears,2,0.00608199
feature,2,0.00608199
fed,2,0.00608199
feet,2,0.00608199
fellowship,2,0.00608199
fetch,2,0.00608199
fighting,2,0.00608199
fill,2,0.00608199
fines,2,0.00608199
finger,2,0.00608199
fish,2,0.00608199
fishmonger,2,0.00608199
fits,2,0.00608199
flame,2,0.00608199
flames,2,0.00608199
flaming,2,0.00608199
flatter,2,0.00608199
foe,2,0.00608199
foil,2,0.00608199
followed,2,0.00608199
food,2,0.00608199
fools,2,0.00608199
forbid,2,0.00608199
forc,2,0.00608199
forehead,2,0.00608199
forgive,2,0.00608199
fortunes,2,0.00608199
forty,2,0.00608199
frankly,2,0.00608199
fruit,2,0.00608199
gain,2,0.00608199
gait,2,0.00608199
galls,2,0.00608199
garden,2,0.00608199
gent,2,0.00608199
gentry,2,0.00608199
glass,2,0.00608199
glean,2,0.00608199
goodness,2,0.00608199
got,2,0.00608199
graces,2,0.00608199
grapple,2,0.00608199
grass,2,0.00608199
graves,2,0.00608199
grieve,2,0.00608199
guest,2,0.00608199
guts,2,0.00608199
happily,2,0.00608199
harlot,2,0.00608199
hat,2,0.00608199
hatch,2,0.00608199
having,2,0.00608199
heads,2,0.00608199
hearers,2,0.00608199
hearts,2,0.00608199
heavenly,2,0.00608199
heed,2,0.00608199
heel,2,0.00608199
held,2,0.00608199
heraldry,2,0.00608199
hey,2,0.00608199
hid,2,0.00608199
hideous,2,0.00608199
history,2,0.00608199
hitherto,2,0.00608199
hobby,2,0.00608199
holy,2,0.00608199
horrid,2,0.00608199
horridly,2,0.00608199
horses,2,0.00608199
hours,2,0.00608199
hum,2,0.00608199
hundred,2,0.00608199
hurt,2,0.00608199
hurts,2,0.00608199
hyperion,2,0.00608199
ice,2,0.00608199
immediate,2,0.00608199
imminent,2,0.00608199
impon,2,0.00608199
incens,2,0.00608199
inclination,2,0.00608199
inform,2,0.00608199
instrument,2,0.00608199
intent,2,0.00608199
issue,2,0.00608199
jealousy,2,0.00608199
join,2,0.00608199
joint,2,0.00608199
jot,2,0.00608199
jove,2,0.00608199
joys,2,0.00608199
julius,2,0.00608199
jump,2,0.00608199
just,2,0.00608199
keen,2,0.00608199
kin,2,0.00608199
kings,2,0.00608199
kissing,2,0.00608199
knavery,2,0.00608199
knavish,2,0.00608199
kneels,2,0.00608199
knees,2,0.00608199
knock,2,0.00608199
knowing,2,0.00608199
lap,2,0.00608199
larded,2,0.00608199
lasting,2,0.00608199
lawless,2,0.00608199
laying,2,0.00608199
leaps,2,0.00608199
least,2,0.00608199
led,2,0.00608199
level,2,0.00608199
levies,2,0.00608199
limbs,2,0.00608199
line,2,0.00608199
lips,2,0.00608199
liquor,2,0.00608199
liv,2,0.00608199
living,2,0.00608199
loam,2,0.00608199
lobby,2,0.00608199
loose,2,0.00608199
loved,2,0.00608199
lucianus,2,0.00608199
lunacy,2,0.00608199
lungs,2,0.00608199
lust,2,0.00608199
maggots,2,0.00608199
maiden,2,0.00608199
maids,2,0.00608199
majestical,2,0.00608199
majesties,2,0.00608199
malicious,2,0.00608199
manners,2,0.00608199
mars,2,0.00608199
mason,2,0.00608199
master,2,0.00608199
match,2,0.00608199
matters,2,0.00608199
meeting,2,0.00608199
melancholy,2,0.00608199
melt,2,0.00608199
merely,2,0.00608199
merit,2,0.00608199
merry,2,0.00608199
messengers,2,0.00608199
method,2,0.00608199
middle,2,0.00608199
mighty,2,0.00608199
minds,2,0.00608199
mirror,2,0.00608199
mirth,2,0.00608199
mischance,2,0.00608199
mole,2,0.00608199
moment,2,0.00608199
money,2,0.00608199
mount,2,0.00608199
mountains,2,0.00608199
mourn,2,0.00608199
mouse,2,0.00608199
moves,2,0.00608199
muddy,2,0.00608199
murd,2,0.00608199
mutes,2,0.00608199
naked,2,0.00608199
naught,2,0.00608199
ne,2,0.00608199
nearer,2,0.00608199
necessary,2,0.00608199
neglected,2,0.00608199
neighbour,2,0.00608199
neptune,2,0.00608199
norman,2,0.00608199
north,2,0.00608199
nose,2,0.00608199
numbers,2,0.00608199
oath,2,0.00608199
obedience,2,0.00608199
obligation,2,0.00608199
observance,2,0.00608199
odd,2,0.00608199
officers,2,0.00608199
ones,2,0.00608199
opinions,2,0.00608199
opposition,2,0.00608199
orchard,2,0.00608199
ordnance,2,0.00608199
origin,2,0.00608199
ours,2,0.00608199
outward,2,0.00608199
overdone,2,0.00608199
pace,2,0.00608199
painted,2,0.00608199
pair,2,0.00608199
palm,2,0.00608199
paper,2,0.00608199
passionate,2,0.00608199
pastime,2,0.00608199
patch,2,0.00608199
peasant,2,0.00608199
peep,2,0.00608199
perfume,2,0.00608199
pestilent,2,0.00608199
petty,2,0.00608199
philosophy,2,0.00608199
picture,2,0.00608199
plac,2,0.00608199
plague,2,0.00608199
playing,2,0.00608199
pleas,2,0.00608199
pleasures,2,0.00608199
plots,2,0.00608199
plucks,2,0.00608199
points,2,0.00608199
poisoner,2,0.00608199
pole,2,0.00608199
possess,2,0.00608199
potent,2,0.00608199
pour,2,0.00608199
pours,2,0.00608199
prais,2,0.00608199
praise,2,0.00608199
prayer,2,0.00608199
prayers,2,0.00608199
precedent,2,0.00608199
precious,2,0.00608199
pregnant,2,0.00608199
pretty,2,0.00608199
prevent,2,0.00608199
prick,2,0.00608199
prisoner,2,0.00608199
proceed,2,0.00608199
proclaims,2,0.00608199
prodigal,2,0.00608199
profound,2,0.00608199
promis,2,0.00608199
promise,2,0.00608199
pronounc,2,0.00608199
proper,2,0.00608199
prophesy,2,0.00608199
propose,2,0.00608199
providence,2,0.00608199
puff,2,0.00608199
punish,2,0.00608199
purging,2,0.00608199
purpos,2,0.00608199
pursue,2,0.00608199
quarrel,2,0.00608199
quit,2,0.00608199
rain,2,0.00608199
ranker,2,0.00608199
reading,2,0.00608199
reasons,2,0.00608199
rebellious,2,0.00608199
recoveries,2,0.00608199
reform,2,0.00608199
regard,2,0.00608199
region,2,0.00608199
reliev,2,0.00608199
relish,2,0.00608199
remain,2,0.00608199
remove,2,0.00608199
rend,2,0.00608199
repair,2,0.00608199
reply,2,0.00608199
requite,2,0.00608199
respect,2,0.00608199
rests,2,0.00608199
returns,2,0.00608199
rewards,2,0.00608199
rhenish,2,0.00608199
richer,2,0.00608199
rights,2,0.00608199
rise,2,0.00608199
rites,2,0.00608199
roar,2,0.00608199
roman,2,0.00608199
rome,2,0.00608199
rotten,2,0.00608199
roughly,2,0.00608199
rub,2,0.00608199
rude,2,0.00608199
rue,2,0.00608199
rugged,2,0.00608199
run,2,0.00608199
runs,2,0.00608199
sable,2,0.00608199
sables,2,0.00608199
safe,2,0.00608199
safely,2,0.00608199
sailor,2,0.00608199
salvation,2,0.00608199
sate,2,0.00608199
sblood,2,0.00608199
scale,2,0.00608199
scandal,2,0.00608199
scape,2,0.00608199
scarce,2,0.00608199
scarcely,2,0.00608199
scholar,2,0.00608199
scourge,2,0.00608199
scripture,2,0.00608199
seat,2,0.00608199
secure,2,0.00608199
seeks,2,0.00608199
sees,2,0.00608199
self,2,0.00608199
sending,2,0.00608199
senseless,2,0.00608199
serpent,2,0.00608199
serv,2,0.00608199
servants,2,0.00608199
serve,2,0.00608199
serves,2,0.00608199
sets,2,0.00608199
settled,2,0.00608199
sexton,2,0.00608199
ship,2,0.00608199
shipwright,2,0.00608199
shoes,2,0.00608199
shouldst,2,0.00608199
shown,2,0.00608199
shuffling,2,0.00608199
sickly,2,0.00608199
sickness,2,0.00608199
side,2,0.00608199
signify,2,0.00608199
sinews,2,0.00608199
single,2,0.00608199
slander,2,0.00608199
slaughter,2,0.00608199
slightly,2,0.00608199
smile,2,0.00608199
smooth,2,0.00608199
songs,2,0.00608199
sooner,2,0.00608199
source,2,0.00608199
spoke,2,0.00608199
spoken,2,0.00608199
spokes,2,0.00608199
spread,2,0.00608199
spurns,2,0.00608199
stamp,2,0.00608199
station,2,0.00608199
steep,2,0.00608199
step,2,0.00608199
sting,2,0.00608199
stone,2,0.00608199
stops,2,0.00608199
strangely,2,0.00608199
straw,2,0.00608199
streets,2,0.00608199
strength,2,0.00608199
strew,2,0.00608199
strict,2,0.00608199
strike,2,0.00608199
strumpet,2,0.00608199
substance,2,0.00608199
succession,2,0.00608199
suck,2,0.00608199
suff,2,0.00608199
sultry,2,0.00608199
summit,2,0.00608199
supper,2,0.00608199
suppress,2,0.00608199
swearing,2,0.00608199
sweat,2,0.00608199
sweep,2,0.00608199
swift,2,0.00608199
swounds,2,0.00608199
ta,2,0.00608199
tables,2,0.00608199
tardy,2,0.00608199
tax,2,0.00608199
tedious,2,0.00608199
teeth,2,0.00608199
term,2,0.00608199
thin,2,0.00608199
throne,2,0.00608199
thrown,2,0.00608199
throws,2,0.00608199
thunder,2,0.00608199
toe,2,0.00608199
toy,2,0.00608199
trace,2,0.00608199
trade,2,0.00608199
tragical,2,0.00608199
trail,2,0.00608199
translate,2,0.00608199
travel,2,0.00608199
treacherous,2,0.00608199
treachery,2,0.00608199
treble,2,0.00608199
tree,2,0.00608199
tremble,2,0.00608199
tribute,2,0.00608199
trouble,2,0.00608199
troubles,2,0.00608199
truant,2,0.00608199
trust,2,0.00608199
tune,2,0.00608199
tunes,2,0.00608199
tush,2,0.00608199
twain,2,0.00608199
twixt,2,0.00608199
unbated,2,0.00608199
unction,2,0.00608199
undertake,2,0.00608199
union,2,0.00608199
unknown,2,0.00608199
unworthy,2,0.00608199
usurp,2,0.00608199
utt,2,0.00608199
valentine,2,0.00608199
valiant,2,0.00608199
vantage,2,0.00608199
variable,2,0.00608199
vengeance,2,0.00608199
view,2,0.00608199
violets,2,0.00608199
virtues,2,0.00608199
volt,2,0.00608199
vouchers,2,0.00608199
vow,2,0.00608199
voyage,2,0.00608199
vulgar,2,0.00608199
wag,2,0.00608199
wait,2,0.00608199
walks,2,0.00608199
want,2,0.00608199
wants,2,0.00608199
war,2,0.00608199
wars,2,0.00608199
wary,2,0.00608199
wash,2,0.00608199
wax,2,0.00608199
waxes,2,0.00608199
weak,2,0.00608199
weakness,2,0.00608199
weapon,2,0.00608199
wears,2,0.00608199
weary,2,0.00608199
weasel,2,0.00608199
west,2,0.00608199
whale,2,0.00608199
whereof,2,0.00608199
whiles,2,0.00608199
whips,2,0.00608199
whisper,2,0.00608199
whoreson,2,0.00608199
wildly,2,0.00608199
willing,2,0.00608199
willingly,2,0.00608199
wine,2,0.00608199
wings,2,0.00608199
wipe,2,0.00608199
wise,2,0.00608199
wisely,2,0.00608199
witchcraft,2,0.00608199
witness,2,0.00608199
wittingly,2,0.00608199
wonderful,2,0.00608199
wonted,2,0.00608199
working,2,0.00608199
wormwood,2,0.00608199
wounded,2,0.00608199
wounds,2,0.00608199
wrote,2,0.00608199
yield,2,0.00608199
yonder,2,0.00608199
yorick,2,0.00608199
abate,1,0.00304099
abatements,1,0.00304099
abhorred,1,0.00304099
ability,1,0.00304099
able,1,0.00304099
abominably,1,0.00304099
abridgment,1,0.00304099
abroad,1,0.00304099
absent,1,0.00304099
abstinence,1,0.00304099
abstract,1,0.00304099
abus,1,0.00304099
abuse,1,0.00304099
abuses,1,0.00304099
accepts,1,0.00304099
access,1,0.00304099
accidental,1,0.00304099
accidents,1,0.00304099
accord,1,0.00304099
account,1,0.00304099
accounted,1,0.00304099
accurst,1,0.00304099
accuse,1,0.00304099
ache,1,0.00304099
achievements,1,0.00304099
acquaint,1,0.00304099
acquire,1,0.00304099
acquittance,1,0.00304099
acres,1,0.00304099
across,1,0.00304099
acted,1,0.00304099
acting,1,0.00304099
actively,1,0.00304099
adders,1,0.00304099
addicted,1,0.00304099
address,1,0.00304099
adheres,1,0.00304099
adjoin,1,0.00304099
admirable,1,0.00304099
admittance,1,0.00304099
adoption,1,0.00304099
adulterate,1,0.00304099
advanc,1,0.00304099
advantage,1,0.00304099
adventurous,1,0.00304099
advise,1,0.00304099
aeneas,1,0.00304099
afeard,1,0.00304099
affairs,1,0.00304099
affectation,1,0.00304099
affections,1,0.00304099
afflict,1,0.00304099
afflicts,1,0.00304099
affrighted,1,0.00304099
affront,1,0.00304099
afoot,1,0.00304099
afraid,1,0.00304099
afternoon,1,0.00304099
afterwards,1,0.00304099
ago,1,0.00304099
agreeing,1,0.00304099
aid,1,0.00304099
airs,1,0.00304099
airy,1,0.00304099
aliis,1,0.00304099
allegiance,1,0.00304099
alleys,1,0.00304099
also,1,0.00304099
altitude,1,0.00304099
altogether,1,0.00304099
always,1,0.00304099
amaz,1,0.00304099
amaze,1,0.00304099
amber,1,0.00304099
ambiguous,1,0.00304099
amble,1,0.00304099
amen,1,0.00304099
amities,1,0.00304099
among,1,0.00304099
anchor,1,0.00304099
ancient,1,0.00304099
anger,1,0.00304099
angle,1,0.00304099
angry,1,0.00304099
animals,1,0.00304099
ankle,1,0.00304099
annexment,1,0.00304099
annual,1,0.00304099
anoint,1,0.00304099
answerest,1,0.00304099
answers,1,0.00304099
antic,1,0.00304099
anticipation,1,0.00304099
antiquity,1,0.00304099
apiece,1,0.00304099
apoplex,1,0.00304099
appal,1,0.00304099
apparel,1,0.00304099
appeareth,1,0.00304099
appetite,1,0.00304099
applaud,1,0.00304099
appliance,1,0.00304099
appointment,1,0.00304099
approaches,1,0.00304099
appurtenance,1,0.00304099
aptly,1,0.00304099
ardour,1,0.00304099
argues,1,0.00304099
aright,1,0.00304099
arithmetic,1,0.00304099
aroused,1,0.00304099
arraign,1,0.00304099
arrest,1,0.00304099
arrests,1,0.00304099
arriv,1,0.00304099
arrow,1,0.00304099
articles,1,0.00304099
artire,1,0.00304099
artless,1,0.00304099
asham,1,0.00304099
aslant,1,0.00304099
aspect,1,0.00304099
assail,1,0.00304099
assault,1,0.00304099
assays,1,0.00304099
associates,1,0.00304099
assure,1,0.00304099
asunder,1,0.00304099
attend,1,0.00304099
attended,1,0.00304099
attends,1,0.00304099
attent,1,0.00304099
attractive,1,0.00304099
attribute,1,0.00304099
audit,1,0.00304099
augury,1,0.00304099
aunt,1,0.00304099
auspicious,1,0.00304099
authorities,1,0.00304099
avouch,1,0.00304099
awork,1,0.00304099
awry,1,0.00304099
aye,1,0.00304099
babe,1,0.00304099
backward,1,0.00304099
bade,1,0.00304099
bait,1,0.00304099
baker,1,0.00304099
ban,1,0.00304099
bank,1,0.00304099
baptista,1,0.00304099
bar,1,0.00304099
barber,1,0.00304099
bare,1,0.00304099
barefac,1,0.00304099
barefoot,1,0.00304099
barr,1,0.00304099
barrel,1,0.00304099
barren,1,0.00304099
baseness,1,0.00304099
bastard,1,0.00304099
bated,1,0.00304099
battalions,1,0.00304099
batten,1,0.00304099
battery,1,0.00304099
battlements,1,0.00304099
bawd,1,0.00304099
bawdry,1,0.00304099
bawds,1,0.00304099
bawdy,1,0.00304099
beam,1,0.00304099
beards,1,0.00304099
bearing,1,0.00304099
beat,1,0.00304099
beaten,1,0.00304099
beats,1,0.00304099
beauteous,1,0.00304099
beautied,1,0.00304099
beauties,1,0.00304099
beaver,1,0.00304099
became,1,0.00304099
because,1,0.00304099
beck,1,0.00304099
bedded,1,0.00304099
bedrid,1,0.00304099
beds,1,0.00304099
bedtime,1,0.00304099
beer,1,0.00304099
beetles,1,0.00304099
befall,1,0.00304099
befitted,1,0.00304099
beget,1,0.00304099
behav,1,0.00304099
behold,1,0.00304099
behooves,1,0.00304099
behove,1,0.00304099
belief,1,0.00304099
believ,1,0.00304099
bellow,1,0.00304099
bellowed,1,0.00304099
bells,1,0.00304099
belov,1,0.00304099
bended,1,0.00304099
benefit,1,0.00304099
benetted,1,0.00304099
berattle,1,0.00304099
beshrew,1,0.00304099
besides,1,0.00304099
besmirch,1,0.00304099
bespeak,1,0.00304099
bestial,1,0.00304099
bet,1,0.00304099
beteem,1,0.00304099
bethought,1,0.00304099
betimes,1,0.00304099
betoken,1,0.00304099
bevy,1,0.00304099
bewept,1,0.00304099
bias,1,0.00304099
bier,1,0.00304099
bilboes,1,0.00304099
birds,1,0.00304099
bisson,1,0.00304099
bites,1,0.00304099
blackest,1,0.00304099
blanket,1,0.00304099
blanks,1,0.00304099
blasting,1,0.00304099
blastments,1,0.00304099
blasts,1,0.00304099
blaze,1,0.00304099
blazes,1,0.00304099
blazon,1,0.00304099
bleeding,1,0.00304099
blench,1,0.00304099
blind,1,0.00304099
blister,1,0.00304099
bloat,1,0.00304099
bloodily,1,0.00304099
blossoms,1,0.00304099
blue,1,0.00304099
blunted,1,0.00304099
blurs,1,0.00304099
board,1,0.00304099
boarded,1,0.00304099
bodes,1,0.00304099
bodiless,1,0.00304099
bodkin,1,0.00304099
bodykins,1,0.00304099
boist,1,0.00304099
bonnet,1,0.00304099
bonny,1,0.00304099
books,1,0.00304099
borrowed,1,0.00304099
borrower,1,0.00304099
borrowing,1,0.00304099
botch,1,0.00304099
boughs,1,0.00304099
bought,1,0.00304099
bounded,1,0.00304099
bounds,1,0.00304099
bounteous,1,0.00304099
bounty,1,0.00304099
bourn,1,0.00304099
bout,1,0.00304099
bouts,1,0.00304099
bowl,1,0.00304099
box,1,0.00304099
boys,1,0.00304099
brainish,1,0.00304099
branches,1,0.00304099
brands,1,0.00304099
bravery,1,0.00304099
bray,1,0.00304099
braz,1,0.00304099
brazen,1,0.00304099
breach,1,0.00304099
bread,1,0.00304099
breadth,1,0.00304099
breaking,1,0.00304099
breast,1,0.00304099
breathes,1,0.00304099
breeder,1,0.00304099
brevity,1,0.00304099
bride,1,0.00304099
bringing,1,0.00304099
brings,1,0.00304099
broach,1,0.00304099
broken,1,0.00304099
brokers,1,0.00304099
brood,1,0.00304099
brothel,1,0.00304099
bruit,1,0.00304099
brute,1,0.00304099
brutus,1,0.00304099
bubbles,1,0.00304099
budge,1,0.00304099
buffets,1,0.00304099
bugs,1,0.00304099
build,1,0.00304099
built,1,0.00304099
bulwark,1,0.00304099
bunghole,1,0.00304099
burnt,1,0.00304099
burthen,1,0.00304099
busy,1,0.00304099
button,1,0.00304099
buttons,1,0.00304099
buy,1,0.00304099
buyer,1,0.00304099
buys,1,0.00304099
buzzers,1,0.00304099
c,1,0.00304099
cabin,1,0.00304099
cain,1,0.00304099
calamity,1,0.00304099
calendar,1,0.00304099
calf,1,0.00304099
calmly,1,0.00304099
calumnious,1,0.00304099
calumny,1,0.00304099
calves,1,0.00304099
calveskins,1,0.00304099
candied,1,0.00304099
cannoneer,1,0.00304099
cannons,1,0.00304099
canon,1,0.00304099
canoniz,1,0.00304099
canopy,1,0.00304099
capability,1,0.00304099
capitol,1,0.00304099
capons,1,0.00304099
caps,1,0.00304099
captains,1,0.00304099
carbuncles,1,0.00304099
carefully,1,0.00304099
careless,1,0.00304099
carnal,1,0.00304099
carouses,1,0.00304099
carp,1,0.00304099
carriage,1,0.00304099
carried,1,0.00304099
carries,1,0.00304099
carrion,1,0.00304099
cars,1,0.00304099
cart,1,0.00304099
carters,1,0.00304099
carve,1,0.00304099
case,1,0.00304099
cases,1,0.00304099
casual,1,0.00304099
cat,1,0.00304099
cataplasm,1,0.00304099
cautel,1,0.00304099
caution,1,0.00304099
caviary,1,0.00304099
cease,1,0.00304099
celebrated,1,0.00304099
cell,1,0.00304099
cellarage,1,0.00304099
centre,1,0.00304099
cerements,1,0.00304099
certainty,1,0.00304099
cesse,1,0.00304099
chalice,1,0.00304099
challenger,1,0.00304099
chamberlain,1,0.00304099
chameleon,1,0.00304099
changed,1,0.00304099
changeling,1,0.00304099
changes,1,0.00304099
chanson,1,0.00304099
chap,1,0.00304099
chapless,1,0.00304099
chariest,1,0.00304099
charity,1,0.00304099
charm,1,0.00304099
chase,1,0.00304099
chaunted,1,0.00304099
checking,1,0.00304099
cherub,1,0.00304099
chide,1,0.00304099
chiefest,1,0.00304099
chiefly,1,0.00304099
chopine,1,0.00304099
chorus,1,0.00304099
chough,1,0.00304099
christen,1,0.00304099
christians,1,0.00304099
chronicles,1,0.00304099
churches,1,0.00304099
churchyard,1,0.00304099
churchyards,1,0.00304099
churlish,1,0.00304099
cicatrice,1,0.00304099
circumscrib,1,0.00304099
circumstances,1,0.00304099
circumvent,1,0.00304099
clad,1,0.00304099
claim,1,0.00304099
clamb,1,0.00304099
clamour,1,0.00304099
clapp,1,0.00304099
claudio,1,0.00304099
clawed,1,0.00304099
clays,1,0.00304099
clear,1,0.00304099
clearly,1,0.00304099
cleave,1,0.00304099
cleft,1,0.00304099
clemency,1,0.00304099
cliff,1,0.00304099
climature,1,0.00304099
clip,1,0.00304099
clo,1,0.00304099
cloak,1,0.00304099
closely,1,0.00304099
clothe,1,0.00304099
clothes,1,0.00304099
cloud,1,0.00304099
clout,1,0.00304099
clouts,1,0.00304099
clutch,1,0.00304099
coach,1,0.00304099
coagulate,1,0.00304099
cockle,1,0.00304099
coffin,1,0.00304099
coil,1,0.00304099
coinage,1,0.00304099
collateral,1,0.00304099
colleagued,1,0.00304099
colours,1,0.00304099
columbines,1,0.00304099
comart,1,0.00304099
combat,1,0.00304099
combated,1,0.00304099
combination,1,0.00304099
combined,1,0.00304099
comfort,1,0.00304099
comma,1,0.00304099
commanded,1,0.00304099
commands,1,0.00304099
commencement,1,0.00304099
commendable,1,0.00304099
commended,1,0.00304099
comment,1,0.00304099
commerce,1,0.00304099
commingled,1,0.00304099
commune,1,0.00304099
compact,1,0.00304099
companies,1,0.00304099
companions,1,0.00304099
company,1,0.00304099
compare,1,0.00304099
compass,1,0.00304099
compell,1,0.00304099
compelled,1,0.00304099
competent,1,0.00304099
complete,1,0.00304099
compos,1,0.00304099
compost,1,0.00304099
compound,1,0.00304099
compounded,1,0.00304099
compulsatory,1,0.00304099
compulsive,1,0.00304099
comrade,1,0.00304099
comutual,1,0.00304099
conceal,1,0.00304099
conceited,1,0.00304099
conceive,1,0.00304099
conception,1,0.00304099
concernancy,1,0.00304099
concernings,1,0.00304099
concluded,1,0.00304099
conclusions,1,0.00304099
condole,1,0.00304099
condolement,1,0.00304099
confederate,1,0.00304099
conference,1,0.00304099
confin,1,0.00304099
confines,1,0.00304099
confront,1,0.00304099
confusion,1,0.00304099
congregation,1,0.00304099
congruing,1,0.00304099
conjectures,1,0.00304099
conjoin,1,0.00304099
conjunctive,1,0.00304099
conjuration,1,0.00304099
conjure,1,0.00304099
conjures,1,0.00304099
conqueror,1,0.00304099
conquest,1,0.00304099
considered,1,0.00304099
consonancy,1,0.00304099
constant,1,0.00304099
constantly,1,0.00304099
consummation,1,0.00304099
contagious,1,0.00304099
containing,1,0.00304099
contend,1,0.00304099
contents,1,0.00304099
continual,1,0.00304099
contract,1,0.00304099
contracted,1,0.00304099
contraction,1,0.00304099
contrary,1,0.00304099
contriving,1,0.00304099
controversy,1,0.00304099
contumely,1,0.00304099
convenience,1,0.00304099
conveniently,1,0.00304099
conversation,1,0.00304099
converse,1,0.00304099
converted,1,0.00304099
convey,1,0.00304099
conveyance,1,0.00304099
conveyances,1,0.00304099
convocation,1,0.00304099
convoy,1,0.00304099
cool,1,0.00304099
cop,1,0.00304099
copied,1,0.00304099
cor,1,0.00304099
core,1,0.00304099
corner,1,0.00304099
coronation,1,0.00304099
coronet,1,0.00304099
corrupted,1,0.00304099
corses,1,0.00304099
costly,1,0.00304099
coted,1,0.00304099
couched,1,0.00304099
counsellor,1,0.00304099
counter,1,0.00304099
counterfeit,1,0.00304099
countries,1,0.00304099
countrymen,1,0.00304099
couple,1,0.00304099
couplets,1,0.00304099
courses,1,0.00304099
courteous,1,0.00304099
courtesy,1,0.00304099
courtiers,1,0.00304099
cowards,1,0.00304099
coz,1,0.00304099
cozen,1,0.00304099
crab,1,0.00304099
cracks,1,0.00304099
crafts,1,0.00304099
crafty,1,0.00304099
cramm,1,0.00304099
crants,1,0.00304099
crash,1,0.00304099
craven,1,0.00304099
craves,1,0.00304099
crawling,1,0.00304099
creation,1,0.00304099
credent,1,0.00304099
creep,1,0.00304099
crescent,1,0.00304099
crib,1,0.00304099
crier,1,0.00304099
crimeful,1,0.00304099
croaking,1,0.00304099
crocodile,1,0.00304099
crook,1,0.00304099
cross,1,0.00304099
crowflowers,1,0.00304099
crowing,1,0.00304099
crowns,1,0.00304099
crows,1,0.00304099
crust,1,0.00304099
cuckold,1,0.00304099
cudgel,1,0.00304099
cue,1,0.00304099
cuffs,1,0.00304099
cum,1,0.00304099
cunnings,1,0.00304099
cups,1,0.00304099
curb,1,0.00304099
curd,1,0.00304099
cure,1,0.00304099
curiously,1,0.00304099
curls,1,0.00304099
curse,1,0.00304099
cursing,1,0.00304099
customary,1,0.00304099
cutpurse,1,0.00304099
