Слово,Частота,Частота (%)
rank,7,0.0212869
receive,7,0.0212869
sound,7,0.0212869
table,7,0.0212869
times,7,0.0212869
top,7,0.0212869
touch,7,0.0212869
understand,7,0.0212869
wager,7,0.0212869
whole,7,0.0212869
wholesome,7,0.0212869
wisdom,7,0.0212869
1,6,0.018246
already,6,0.018246
ambassadors,6,0.018246
ambition,6,0.018246
anon,6,0.018246
appear,6,0.018246
arras,6,0.018246
beard,6,0.018246
beast,6,0.018246
beauty,6,0.018246
begin,6,0.018246
bestow,6,0.018246
bid,6,0.018246
brain,6,0.018246
brought,6,0.018246
buried,6,0.018246
cast,6,0.018246
choice,6,0.018246
circumstance,6,0.018246
cock,6,0.018246
cold,6,0.018246
confess,6,0.018246
court,6,0.018246
crown,6,0.018246
damn,6,0.018246
damned,6,0.018246
dane,6,0.018246
danish,6,0.018246
dare,6,0.018246
days,6,0.018246
discourse,6,0.018246
double,6,0.018246
dream,6,0.018246
dull,6,0.018246
dumb,6,0.018246
either,6,0.018246
false,6,0.018246
fare,6,0.018246
fat,6,0.018246
feed,6,0.018246
foils,6,0.018246
fort,6,0.018246
forth,6,0.018246
gracious,6,0.018246
guilty,6,0.018246
health,6,0.018246
herself,6,0.018246
hit,6,0.018246
home,6,0.018246
hot,6,0.018246
ii,6,0.018246
knew,6,0.018246
laid,6,0.018246
laugh,6,0.018246
lies,6,0.018246
longer,6,0.018246
lords,6,0.018246
march,6,0.018246
marriage,6,0.018246
mercy,6,0.018246
move,6,0.018246
note,6,0.018246
only,6,0.018246
others,6,0.018246
over,6,0.018246
pass,6,0.018246
point,6,0.018246
prison,6,0.018246
prithee,6,0.018246
proof,6,0.018246
reynaldo,6,0.018246
round,6,0.018246
season,6,0.018246
seems,6,0.018246
shape,6,0.018246
shot,6,0.018246
slain,6,0.018246
soldiers,6,0.018246
sorrow,6,0.018246
speaks,6,0.018246
star,6,0.018246
stood,6,0.018246
struck,6,0.018246
toward,6,0.018246
truth,6,0.018246
try,6,0.018246
voltemand,6,0.018246
vows,6,0.018246
water,6,0.018246
whether,6,0.018246
whom,6,0.018246
wicked,6,0.018246
wit,6,0.018246
withal,6,0.018246
woo,6,0.018246
wouldst,6,0.018246
yours,6,0.018246
alexander,5,0.015205
anything,5,0.015205
attendant,5,0.015205
audience,5,0.015205
base,5,0.015205
blessing,5,0.015205
bodies,5,0.015205
bound,5,0.015205
brains,5,0.015205
brief,5,0.015205
carriages,5,0.015205
choose,5,0.015205
christian,5,0.015205
closet,5,0.015205
colour,5,0.015205
commission,5,0.015205
conceit,5,0.015205
cornelius,5,0.015205
course,5,0.015205
cries,5,0.015205
cry,5,0.015205
danger,5,0.015205
dangerous,5,0.015205
disposition,5,0.015205
door,5,0.015205
dread,5,0.015205
eat,5,0.015205
fast,5,0.015205
fault,5,0.015205
fie,5,0.015205
figure,5,0.015205
fingers,5,0.015205
flesh,5,0.015205
fly,5,0.015205
forgot,5,0.015205
found,5,0.015205
four,5,0.015205
france,5,0.015205
french,5,0.015205
funeral,5,0.015205
gentle,5,0.015205
gifts,5,0.015205
grows,5,0.015205
half,5,0.015205
hard,5,0.015205
hide,5,0.015205
holds,5,0.015205
honesty,5,0.015205
horse,5,0.015205
humbly,5,0.015205
impart,5,0.015205
kingdom,5,0.015205
knave,5,0.015205
land,5,0.015205
liberty,5,0.015205
lov,5,0.015205
making,5,0.015205
mass,5,0.015205
methinks,5,0.015205
moon,5,0.015205
morning,5,0.015205
morrow,5,0.015205
mortal,5,0.015205
motive,5,0.015205
natural,5,0.015205
nephew,5,0.015205
new,5,0.015205
next,5,0.015205
nunnery,5,0.015205
patience,5,0.015205
perchance,5,0.015205
perhaps,5,0.015205
player,5,0.015205
presently,5,0.015205
priam,5,0.015205
prince,5,0.015205
prologue,5,0.015205
puts,5,0.015205
quiet,5,0.015205
rather,5,0.015205
read,5,0.015205
reads,5,0.015205
report,5,0.015205
safety,5,0.015205
save,5,0.015205
shalt,5,0.015205
short,5,0.015205
sick,5,0.015205
silence,5,0.015205
sing,5,0.015205
sits,5,0.015205
slave,5,0.015205
souls,5,0.015205
spirits,5,0.015205
stage,5,0.015205
stir,5,0.015205
sudden,5,0.015205
terms,5,0.015205
themselves,5,0.015205
throw,5,0.015205
thyself,5,0.015205
told,5,0.015205
took,5,0.015205
treason,5,0.015205
trumpet,5,0.015205
twelve,5,0.015205
under,5,0.015205
vile,5,0.015205
visage,5,0.015205
visit,5,0.015205
warlike,5,0.015205
went,5,0.015205
whereon,5,0.015205
writ,5,0.015205
year,5,0.015205
yes,5,0.015205
above,4,0.012164
affair,4,0.012164
affection,4,0.012164
angel,4,0.012164
argument,4,0.012164
ass,4,0.012164
assay,4,0.012164
assume,4,0.012164
b,4,0.012164
beggar,4,0.012164
begun,4,0.012164
beneath,4,0.012164
birth,4,0.012164
bones,4,0.012164
book,4,0.012164
bore,4,0.012164
born,4,0.012164
bosom,4,0.012164
burial,4,0.012164
calls,4,0.012164
cannon,4,0.012164
censure,4,0.012164
certain,4,0.012164
change,4,0.012164
closes,4,0.012164
clouds,4,0.012164
commandment,4,0.012164
commend,4,0.012164
consent,4,0.012164
consequence,4,0.012164
count,4,0.012164
countenance,4,0.012164
country,4,0.012164
cousin,4,0.012164
cunning,4,0.012164
cup,4,0.012164
cursed,4,0.012164
deep,4,0.012164
deliver,4,0.012164
desires,4,0.012164
desperate,4,0.012164
didst,4,0.012164
died,4,0.012164
direct,4,0.012164
discretion,4,0.012164
distemper,4,0.012164
distracted,4,0.012164
dreams,4,0.012164
drift,4,0.012164
ease,4,0.012164
ecstasy,4,0.012164
entertainment,4,0.012164
except,4,0.012164
express,4,0.012164
fain,4,0.012164
favour,4,0.012164
fight,4,0.012164
follows,4,0.012164
forget,4,0.012164
frame,4,0.012164
freely,4,0.012164
gainst,4,0.012164
gallows,4,0.012164
glad,4,0.012164
gonzago,4,0.012164
grown,4,0.012164
guard,4,0.012164
habit,4,0.012164
hall,4,0.012164
hang,4,0.012164
happy,4,0.012164
hearing,4,0.012164
hecuba,4,0.012164
hence,4,0.012164
herein,4,0.012164
high,4,0.012164
horrible,4,0.012164
iii,4,0.012164
image,4,0.012164
imagination,4,0.012164
imports,4,0.012164
incestuous,4,0.012164
infinite,4,0.012164
instant,4,0.012164
iv,4,0.012164
keeps,4,0.012164
kept,4,0.012164
knows,4,0.012164
ladies,4,0.012164
lands,4,0.012164
lead,4,0.012164
leaves,4,0.012164
leisure,4,0.012164
lend,4,0.012164
length,4,0.012164
lest,4,0.012164
lights,4,0.012164
lives,4,0.012164
lock,4,0.012164
main,4,0.012164
maker,4,0.012164
meant,4,0.012164
mess,4,0.012164
messenger,4,0.012164
methought,4,0.012164
mock,4,0.012164
modesty,4,0.012164
month,4,0.012164
months,4,0.012164
motion,4,0.012164
n,4,0.012164
native,4,0.012164
need,4,0.012164
occasion,4,0.012164
offer,4,0.012164
pastoral,4,0.012164
pate,4,0.012164
pause,4,0.012164
pay,4,0.012164
person,4,0.012164
pity,4,0.012164
platform,4,0.012164
pleasure,4,0.012164
polack,4,0.012164
possible,4,0.012164
practice,4,0.012164
present,4,0.012164
priest,4,0.012164
property,4,0.012164
quality,4,0.012164
quantity,4,0.012164
quite,4,0.012164
rate,4,0.012164
ready,4,0.012164
remembrance,4,0.012164
rose,4,0.012164
secret,4,0.012164
seeing,4,0.012164
send,4,0.012164
sends,4,0.012164
shadow,4,0.012164
shortly,4,0.012164
sigh,4,0.012164
six,4,0.012164
sleeping,4,0.012164
sleeps,4,0.012164
snow,4,0.012164
soldier,4,0.012164
sorry,4,0.012164
spade,4,0.012164
speed,4,0.012164
stands,4,0.012164
stars,4,0.012164
start,4,0.012164
stop,4,0.012164
straight,4,0.012164
strong,4,0.012164
stronger,4,0.012164
tale,4,0.012164
talk,4,0.012164
teach,4,0.012164
ten,4,0.012164
tend,4,0.012164
tender,4,0.012164
thence,4,0.012164
thinking,4,0.012164
thrice,4,0.012164
thrift,4,0.012164
throat,4,0.012164
treasure,4,0.012164
trick,4,0.012164
twas,4,0.012164
twenty,4,0.012164
twice,4,0.012164
twill,4,0.012164
unnatural,4,0.012164
violence,4,0.012164
violent,4,0.012164
warrant,4,0.012164
wear,4,0.012164
weeds,4,0.012164
weep,4,0.012164
weigh,4,0.012164
whereto,4,0.012164
white,4,0.012164
wi,4,0.012164
wide,4,0.012164
wild,4,0.012164
wish,4,0.012164
wits,4,0.012164
wittenberg,4,0.012164
wonder,4,0.012164
worm,4,0.012164
wretched,4,0.012164
ye,4,0.012164
yea,4,0.012164
aboard,3,0.00912298
accident,3,0.00912298
actor,3,0.00912298
addition,3,0.00912298
admiration,3,0.00912298
advice,3,0.00912298
affliction,3,0.00912298
ah,3,0.00912298
alack,3,0.00912298
allow,3,0.00912298
along,3,0.00912298
ambitious,3,0.00912298
angels,3,0.00912298
argal,3,0.00912298
armour,3,0.00912298
ask,3,0.00912298
avoid,3,0.00912298
beating,3,0.00912298
beckons,3,0.00912298
becomes,3,0.00912298
below,3,0.00912298
bend,3,0.00912298
bent,3,0.00912298
bitter,3,0.00912298
blame,3,0.00912298
bless,3,0.00912298
blow,3,0.00912298
bold,3,0.00912298
borne,3,0.00912298
bow,3,0.00912298
boy,3,0.00912298
brave,3,0.00912298
breathe,3,0.00912298
brow,3,0.00912298
burst,3,0.00912298
canst,3,0.00912298
cap,3,0.00912298
captain,3,0.00912298
carry,3,0.00912298
ceremony,3,0.00912298
chamber,3,0.00912298
chaste,3,0.00912298
cheer,3,0.00912298
chief,3,0.00912298
children,3,0.00912298
clay,3,0.00912298
close,3,0.00912298
clowns,3,0.00912298
complexion,3,0.00912298
confession,3,0.00912298
consider,3,0.00912298
content,3,0.00912298
corruption,3,0.00912298
corse,3,0.00912298
counsel,3,0.00912298
creatures,3,0.00912298
cried,3,0.00912298
crimes,3,0.00912298
defend,3,0.00912298
delight,3,0.00912298
delights,3,0.00912298
dew,3,0.00912298
dispatch,3,0.00912298
doomsday,3,0.00912298
doors,3,0.00912298
draws,3,0.00912298
